刈込 辻34(辻堂<->湘南ライフタウン・慶応大学)
Valid until 15may1998
$Id: tsuji34-karigome.txt,v 1.1 2001/04/17 03:41:52 itojun Exp $

Weekday
	7	03 38 
	8	00 12 28 47 53
	9	03 15 33 58
	10	18 28 37
	11	13 25 38 53
	12	11 26 43 58
	13	16 33 48 57
	14	08 16 28 41 58
	15	03 15 25 33 38 51
	16	00 23 38 58
	17	13 28 43 51 58
	18	10 28 38 51 57
	19	13 24 43 
	20	23
	21	35
	22	07 20

Saturday
	7	
	8	08 27 51 59
	9	18 33 42 48 55
	10	03 23 33
	11	20 33
	12	01 13 21 33 42 5
	13	04 25 30 43 56
	14	03 13 22 38 57
	15	11 26 48
	16	03 23 43 
	17	06 28 38 46
	18	25 38 54
	19	13
	20	26 
	21	28

Sunday
	7	
	8	
	9	33
	10	43
	11	48 
	12	58
	13	38
	14	38 
	15	38
	16	38 
	17	58
	18
	19	18 
	20	
